Time - Plot 0	Amplitude - Plot 0
2290	581
2291	572
2292	554
2293	540
2294	546
2295	504
2296	336
2297	564
2298	556
2299	559
2300	541
2301	511
2302	534
2303	619
2304	495
2305	493
2306	541
2307	727
2308	633
2309	573
2310	573
2311	541
2312	473
2313	516
2314	584
2315	518
2316	519
2317	501
2318	546
2319	646
2320	486
2321	490
2322	568
2323	437
2324	604
2325	541
2326	522
2327	562
2328	544
2329	581
2330	558
2331	489
2332	496
2333	560
2334	429
2335	610
2336	521
2337	542
2338	576
2339	540
2340	504
2341	524
2342	474
2343	556
2344	534
2345	493
2346	600
2347	525
2348	557
2349	483
2350	387
2351	554
2352	497
2353	574
2354	627
2355	873
2356	600
2357	555
2358	568
2359	568
2360	464
2361	512
2362	566
2363	577
2364	562
2365	544
2366	518
2367	608
2368	536
2369	466
2370	466
2371	381
2372	746
2373	686
2374	705
2375	689
2376	380
2377	554
2378	494
2379	509
2380	475
2381	387
2382	579
2383	505
2384	534
2385	464
2386	464
2387	541
2388	606
2389	609
2390	589
2391	544
2392	568
2393	486
2394	512
2395	508
2396	497
2397	572
2398	578
2399	596
2400	591
2401	478
2402	553
2403	456
2404	461
2405	631
2406	556
2407	622
2408	476
2409	501
2410	513
2411	476
2412	477
2413	556
2414	459
2415	609
2416	637
2417	584
2418	523
2419	546
2420	513
2421	530
2422	574
2423	562
2424	642
2425	581
2426	595
2427	606
2428	452
2429	461
2430	549
2431	581
2432	568
2433	560
2434	589
2435	567
2436	634
2437	481
2438	462
2439	518
2440	618
